ID,Tweets,Label
1.01E+18,"@Airtel_Presence been trying to convert my connection from postpaid to prepaid since 6 months, all the time the guy… https://t.co/qcsSIGYC35",NSC
1.01E+18,@Airtel_Presence every fortnight there has been a repeated deduction from my main balance without any usage of serv… https://t.co/wleUtR7naA,NPL
1.01E+18,"@bharatjain1973 @manojsinhabjp 
@Airtel_Presence 
Day-to-Day Airtel giving pathetic services to us. Even we are not… https://t.co/6O3MYsOL5k",NSC
1.01E+18,@airtelindia @Airtel_Presence india best network explained to much time taking open youtube https://t.co/bNP0R67WGL,NNW
1.01E+18,@Airtel_Presence @airtelindia for u guys i missed d world cup match even after recharging and services stopped more… https://t.co/2Fl8mf9dwd,NSC
1.008E+18,@Airtel_Presence @airtelindia why u r cheated. Ur network coverage is very very poor in my location.signal receiveï¿½ https://t.co/Fngb4O8JYs,NNW
1.008E+18,Hi @JioCare I would like to port to you guys from crappy and pathetic @Airtel_Presence.,NNW
1.008E+18,"Hi, @Airtel_Presence, @airtelindia

I am using your services for last 10 yrs
But recently I faced below issues,
1.ï¿½ https://t.co/qHZBXg44P7",NSC
1.008E+18,@Airtel_Presence need a favour..,QRY
,"@Airtel_Presence pathetic #4G speed. worst telecom company.its time to port out @UfterYou
@TRA @Secretary_DoTï¿½ https://t.co/4npsBj6Tv1",NNW
,@Airtel_Presence @airtelindia worst network ever.....call drop....call drop......4g network worst.,NNW
